CandidateID,Skills,Interests,Hobbies,Work_Style,Career_Goals,Recommended_Career,Career_Category,Intermediate_Path,Salary_PKR_Monthly
1,AutoCAD;Urban Planning;Circuit Design;Thermodynamics,Mathematics;Science;Physics,Visiting Construction Sites;Reading Science Magazines,Working with calculations and designs,Job stability in government,Electrical Engineer,Engineering,FSc Pre-Engineering,165000
2,Supply Chain;ERP Systems;Social Media,Team Work;People;Management,Running Social Media Pages;Volunteering,Creative and strategic thinking,Work in top companies,Business Analyst,Business & Marketing,ICOM (Commerce),160000
3,Reporting;Crop Science;Writing;Subject Knowledge,Teaching;Writing;Nature,Photography,Broadcasting and reporting,Become a respected journalist;Job stability in government,Environmental Scientist,Education & Media,FA (Arts) or FSc,65000
4,Counseling;Diagnosis;Pharmacology;First Aid;Physiology,Community Service;Wellness,Cooking Healthy Food,Making critical decisions,Do medical research,Dentist,Medical & Health,FSc Pre-Medical,260000
5,Negotiation;Leadership;ERP Systems;Brand Management;Logistics,Leadership;People;Management,Watching Entrepreneurship Videos,Managing multiple tasks,Lead a team;Work in top companies,Marketing Manager,Business & Marketing,ICOM (Commerce),180000
6,Medical Research;Dentistry;Anatomy;Physiology;Chemistry,Healthcare;Research,Reading Medical Journals,Following structured procedures,Achieve social respect,Nurse,Medical & Health,FSc Pre-Medical,190000
7,Climate Analysis;Environmental Science;Agriculture;Teaching;Sustainability,Agriculture;Children,Photography,Teaching and explaining concepts,Make a difference in society;Work for environmental causes,Journalist,Education & Media,FA (Arts) or FSc,125000
8,Power Systems;MATLAB;Civil Design;Robotics;Structural Analysis,Physics;Innovation,Playing with Lego;Building Models,Working in teams on large projects,Start my own construction company;Job stability in government,Architect,Engineering,FSc Pre-Engineering,145000
9,Teaching;Crop Science;Content Creation,Social Work;Agriculture;Research,Volunteering at Schools,Community engagement,Serve the community through education;Make a difference in society,Environmental Scientist,Education & Media,FA (Arts) or FSc,110000
10,Research;Writing;Teaching;Environmental Science;Subject Knowledge,Social Work;Agriculture,Nature Walks;Blogging,Flexible and creative work environment,Raise awareness through media;Work in NGOs and international organizations,Agricultural Officer,Education & Media,FA (Arts) or FSc,60000
11,Auditing;ACCA;Excel;Taxation,Stock Market;Business;Numbers,Solving Puzzles;Tracking Stock Markets,Following rules and regulations,Work in banking sector,Chartered Accountant,Finance & Commerce,ICOM (Commerce),250000
12,Python;Git;TensorFlow;Networking,Automation;Programming,Building Robots;Reading Tech Blogs,Working with computers all day,Build innovative products;Start a tech startup,Web Developer,IT & Data,ICS (Pre-Engineering),285000
13,Reporting;Writing;Climate Analysis;Agriculture,Community Service;Agriculture;Communication,Community Work;Volunteering at Schools,Teaching and explaining concepts,Contribute to agricultural development;Job stability in government,Journalist,Education & Media,FA (Arts) or FSc,60000
